Sr. No.,District Name,Market Committee Name,Purchase Center Name,Storage Capacity in quintals,Type Name,Storage Capacity in tons,active_days,mean_cpns_pd,std
2009,Bathinda,Goniana,Dhillon agro foods jida,11250.0,Sheller/ Others,1125.0,14.0,5.0,0.0
2010,Bathinda,Goniana,Taj rice and gen mills goniana,10000.0,Sheller/ Others,1000.0,31.0,4.193548387096774,1.0776318121606494
2011,Bathinda,Goniana,Namdhari rice mills goniana,10000.0,Sheller/ Others,1000.0,31.0,3.967741935483871,1.2512359481126893
2012,Bathinda,Goniana,Neelkanth rice mills goniana,15000.0,Sheller/ Others,1500.0,31.0,4.032258064516129,1.4019955056452438
2013,Bathinda,Goniana,Brar rice mills liji shiv rice mills,52500.0,Sheller/ Others,5250.0,14.0,11.071428571428571,8.128433340529316
2014,Bathinda,Goniana,Bala ji rice mills,60000.0,Sheller/ Others,6000.0,28.0,7.5,6.149375156454094
2015,Bathinda,Goniana,"Bhagwati rice mills, goniana",7000.0,Sheller/ Others,700.0,30.0,4.366666666666666,0.8087168778415271
2016,Bathinda,Goniana,Mahalakshmi rice pvt.ltd goniana,10000.0,Sheller/ Others,1000.0,31.0,4.32258064516129,0.9087389347953037
2017,Bathinda,Goniana,Maa mansa devi rice mills goniana,12000.0,Sheller/ Others,1200.0,30.0,4.3,1.0553639672872466
2018,Bathinda,Goniana,Modern rice mills goniana,11250.0,Sheller/ Others,1125.0,24.0,4.041666666666667,1.041702897920627
2019,Bathinda,Goniana,Malwa rice mills goniana,11250.0,Sheller/ Others,1125.0,24.0,4.041666666666667,1.041702897920627
2020,Bathinda,Goniana,Yadav rice mills goniana,10000.0,Sheller/ Others,1000.0,28.0,4.214285714285714,1.031257515605129
2021,Bathinda,Goniana,Waheguru ricse mills goniana,15000.0,Sheller/ Others,1500.0,30.0,4.866666666666666,2.046583921349535
2022,Bathinda,Goniana,Shagun rice mills goniana,10000.0,Sheller/ Others,1000.0,29.0,4.206896551724138,1.0134562625289332
2023,Bathinda,Bhucho,Joli rice mill,7500.0,Sheller/ Others,750.0,11.0,5.0,0.0
2024,Bathinda,Bhucho,M.s. rice mill,56250.0,Sheller/ Others,5625.0,10.0,11.5,9.44281031614353
2025,Bathinda,Bhucho,A.s. rice mills bhucho,5000.0,Sheller/ Others,500.0,5.0,5.0,0.0
2026,Bathinda,Bhucho,Super rice mill,56250.0,Sheller/ Others,5625.0,13.0,13.461538461538462,9.657599638069016
2027,Bathinda,Bhucho,Har gobind rice mill,56250.0,Sheller/ Others,5625.0,,,
2028,Bathinda,Bhucho,Harminder rice mill,33750.0,Sheller/ Others,3375.0,,,
2029,Bathinda,Bhucho,Krihna rice mill,3750.0,Sheller/ Others,375.0,,,
2030,Bathinda,Bhucho,Ganga mayia rice mills bhucho,3750.0,Sheller/ Others,375.0,14.0,4.571428571428571,1.0894095588038446
2031,Bathinda,Bhucho,Gopal rice mill,33750.0,Sheller/ Others,3375.0,26.0,15.076923076923077,11.502775584781533
2032,Bathinda,Bhucho,Chak bakhat,108000.0,Sheller/ Others,10800.0,25.0,35.76,12.686212988910443
2033,Bathinda,Bhucho,"Jai durga rice mills, bhucho",3750.0,Sheller/ Others,375.0,,,
2034,Bathinda,Bhucho,Trimurti rice mills,33750.0,Sheller/ Others,3375.0,12.0,9.666666666666666,4.905161165609756
2035,Bathinda,Bhucho,Dashmesh rice mills bhucho,3750.0,Sheller/ Others,375.0,5.0,5.0,0.0
2036,Bathinda,Bhucho,Narsingh rice mills bhucho,52500.0,Sheller/ Others,5250.0,19.0,7.2631578947368425,5.097298906318019
2037,Bathinda,Bhucho,P.r rice mills,1500.0,Sheller/ Others,150.0,11.0,5.0,0.0
2038,Bathinda,Bhucho,P.l mittal rice mill,3750.0,Sheller/ Others,375.0,19.0,4.368421052631579,1.2565617248750864
2039,Bathinda,Bhucho,Pardeep rice mills bhucho,3750.0,Sheller/ Others,375.0,5.0,5.0,0.0
2040,Bathinda,Bhucho,Pardeep rice mills 2  bhucho,3750.0,Sheller/ Others,375.0,5.0,5.0,0.0
2041,Bathinda,Bhucho,Baba moni ji rice mill,56250.0,Sheller/ Others,5625.0,13.0,9.23076923076923,7.3161219936275685
2042,Bathinda,Bhucho,"Bhagwati rice mills, lehra mohabat",36000.0,Sheller/ Others,3600.0,7.0,7.857142857142857,5.669467095138408
2043,Bathinda,Bhucho,Bharat rice mills bhucho,4500.0,Sheller/ Others,450.0,13.0,4.769230769230769,0.8320502943378436
2044,Bathinda,Bhucho,Modern rice mills,37500.0,Sheller/ Others,3750.0,28.0,23.714285714285715,24.079893476534938
2045,Bathinda,Bhucho,Shyam rice mills bhucho,4500.0,Sheller/ Others,450.0,14.0,4.571428571428571,1.0894095588038446
2046,Bathinda,Bhucho,Shiva cotton and oil mills bhucho,3000.0,Sheller/ Others,300.0,14.0,4.785714285714286,0.8017837257372733
2047,Bathinda,Bhucho,Shiva rice mills bhucho,3750.0,Sheller/ Others,375.0,,,
2048,Bathinda,Rampuraphool,Uma shankar rice mills,15000.0,Sheller/ Others,1500.0,24.0,8.25,4.152003183378188
2049,Bathinda,Rampuraphool,Om rice mills rampura,30000.0,Sheller/ Others,3000.0,16.0,8.8125,4.693523907115704
2050,Bathinda,Rampuraphool,Omkar rice mills,18750.0,Sheller/ Others,1875.0,17.0,7.176470588235294,2.603730355606333
2051,Bathinda,Rampuraphool,Omkar rice mills 2,11250.0,Sheller/ Others,1125.0,,,
2052,Bathinda,Rampuraphool,Ankit rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2053,Bathinda,Rampuraphool,Anku rice mills rampura,7300.0,Sheller/ Others,730.0,12.0,4.75,0.45226701686664544
2054,Bathinda,Rampuraphool,Anpurna rice mill rampura,7500.0,Sheller/ Others,750.0,,,
2055,Bathinda,Rampuraphool,Anmol rice mill,15000.0,Sheller/ Others,1500.0,12.0,8.666666666666666,2.1033883198882757
2056,Bathinda,Rampuraphool,I a rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2057,Bathinda,Rampuraphool,Aakash rice mills rampura,7500.0,Sheller/ Others,750.0,15.0,4.733333333333333,0.4577377082170635
2058,Bathinda,Rampuraphool,H.m.rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2059,Bathinda,Rampuraphool,A.k. rice mill,15000.0,Sheller/ Others,1500.0,,,
2060,Bathinda,Rampuraphool,Sahara rice mill dhipali,9000.0,Sheller/ Others,900.0,16.0,4.75,0.4472135954999579
2061,Bathinda,Rampuraphool,Sangram rice mills,15000.0,Sheller/ Others,1500.0,23.0,6.608695652173913,2.147707666639916
2062,Bathinda,Rampuraphool,Satluj rice mills,22500.0,Sheller/ Others,2250.0,21.0,6.571428571428571,2.3145502494313783
2063,Bathinda,Rampuraphool,Sardha rice and general mill,15000.0,Sheller/ Others,1500.0,,,
2064,Bathinda,Rampuraphool,Shiv om rice mill,15000.0,Sheller/ Others,1500.0,21.0,12.619047619047619,6.103082749530687
2065,Bathinda,Rampuraphool,Senchury rice mills rampura,7500.0,Sheller/ Others,750.0,17.0,4.705882352941177,0.469668218313862
2066,Bathinda,Rampuraphool,Sri swastik rice mill,15000.0,Sheller/ Others,1500.0,,,
2067,Bathinda,Rampuraphool,Sri ganesh rice mill,11250.0,Sheller/ Others,1125.0,23.0,5.130434782608695,2.5460191355791446
2068,Bathinda,Rampuraphool,Sri tej ram rice mill,22500.0,Sheller/ Others,2250.0,16.0,7.25,2.3523038352503134
2069,Bathinda,Rampuraphool,Har har mahadev rice mills rampura,7500.0,Sheller/ Others,750.0,15.0,4.733333333333333,0.4577377082170635
2070,Bathinda,Rampuraphool,Kartar rice mill,15000.0,Sheller/ Others,1500.0,14.0,6.928571428571429,2.7863481949921955
2071,Bathinda,Rampuraphool,Kalsi rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2072,Bathinda,Rampuraphool,Kisan rice mill,1500.0,Sheller/ Others,150.0,28.0,31.571428571428573,9.651054716602594
2073,Bathinda,Rampuraphool,Krishna rice mill,7500.0,Sheller/ Others,750.0,18.0,8.055555555555555,2.6451336499586913
2074,Bathinda,Rampuraphool,Krishna agro foods rampura,7500.0,Sheller/ Others,750.0,,,
2075,Bathinda,Rampuraphool,Gagan rice mill,11250.0,Sheller/ Others,1125.0,19.0,5.052631578947368,0.6212607441973954
2076,Bathinda,Rampuraphool,Ganga rice gram udyog samti,7500.0,Sheller/ Others,750.0,,,
2077,Bathinda,Rampuraphool,Ganga ram rice mills,7500.0,Sheller/ Others,750.0,16.0,4.75,0.4472135954999579
2078,Bathinda,Rampuraphool,Ganpati siri rice mills,11250.0,Sheller/ Others,1125.0,16.0,4.875,0.5
2079,Bathinda,Rampuraphool,Gumti rice mills rampura,0.0,Sheller/ Others,0.0,,,
2080,Bathinda,Rampuraphool,Guru rice mills,15000.0,Sheller/ Others,1500.0,14.0,7.928571428571429,2.5256921584232863
2081,Bathinda,Rampuraphool,Goel rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2082,Bathinda,Rampuraphool,Gobind das rice mills rampura,18750.0,Sheller/ Others,1875.0,14.0,7.5,2.7665585397468377
2083,Bathinda,Rampuraphool,Golden rice mills rampura,7500.0,Sheller/ Others,750.0,16.0,4.625,0.806225774829855
2084,Bathinda,Rampuraphool,Chauke rice and general mills rampura,7500.0,Sheller/ Others,750.0,14.0,4.642857142857143,0.8418973861410953
2085,Bathinda,Rampuraphool,Jimidara rice mills,18750.0,Sheller/ Others,1875.0,15.0,7.133333333333334,2.7996598432836866
2086,Bathinda,Rampuraphool,G.b.rice mills rampura,7500.0,Sheller/ Others,750.0,16.0,4.75,0.4472135954999579
2087,Bathinda,Rampuraphool,J.l.d. rice mills rampura,7500.0,Sheller/ Others,750.0,,,
2088,Bathinda,Rampuraphool,Jai jawala rice and general mill,22500.0,Sheller/ Others,2250.0,14.0,6.857142857142857,2.476260917566671
2089,Bathinda,Rampuraphool,Jai bajrang bali rice mill,11250.0,Sheller/ Others,1125.0,32.0,9.09375,3.913247764263864
2090,Bathinda,Rampuraphool,Jai lakshmi rice mills rampura,7500.0,Sheller/ Others,750.0,13.0,4.846153846153846,0.3755338080994054
2091,Bathinda,Rampuraphool,"Jai  shari sai rice mill, rampura",7500.0,Sheller/ Others,750.0,17.0,4.588235294117647,0.7952062255644571
2092,Bathinda,Rampuraphool,"Dipali rice mill, rampura",7500.0,Sheller/ Others,750.0,12.0,4.833333333333333,0.38924947208076155
2093,Bathinda,Rampuraphool,Dhillon rice mill,18750.0,Sheller/ Others,1875.0,16.0,9.0,4.633213427705081
2094,Bathinda,Rampuraphool,Tapa rice mill,15000.0,Sheller/ Others,1500.0,15.0,7.533333333333333,2.4162150645369374
2095,Bathinda,Rampuraphool,Tarun rice mill,11250.0,Sheller/ Others,1125.0,12.0,4.916666666666667,0.2886751345948129
2096,Bathinda,Rampuraphool,"Deep rice mill, rampura",52500.0,Sheller/ Others,5250.0,,,
2097,Bathinda,Rampuraphool,Dhagind,55500.0,Sheller/ Others,5550.0,26.0,17.307692307692307,7.561847556089615
2098,Bathinda,Rampuraphool,"Narayan agron rice mill, rampura",11250.0,Sheller/ Others,1125.0,,,
2099,Bathinda,Rampuraphool,"Nanal rice mill, rampura",7500.0,Sheller/ Others,750.0,22.0,4.409090909090909,0.7341396590302414
2100,Bathinda,Rampuraphool,"Nanal rice mill,2 rampura",7500.0,Sheller/ Others,750.0,,,
2101,Bathinda,Rampuraphool,P k rice mill,15000.0,Sheller/ Others,1500.0,12.0,7.583333333333333,2.539088359425425
2102,Bathinda,Rampuraphool,"Prime rice mill, rampura",7500.0,Sheller/ Others,750.0,,,
2103,Bathinda,Rampuraphool,Preet rice mills,15000.0,Sheller/ Others,1500.0,,,
2104,Bathinda,Rampuraphool,Parhotam lal rice mills,18750.0,Sheller/ Others,1875.0,19.0,6.842105263157895,2.651271349010107
2105,Bathinda,Rampuraphool,Fateh rice mill,7500.0,Sheller/ Others,750.0,22.0,10.545454545454545,4.697793531996066
2106,Bathinda,Rampuraphool,"Fraind rice mill, rampura",11250.0,Sheller/ Others,1125.0,,,
2107,Bathinda,Rampuraphool,Bansal rice mill,7500.0,Sheller/ Others,750.0,25.0,18.48,10.97011090797779
2108,Bathinda,Rampuraphool,"Bahia rice mill, rampura",8250.0,Sheller/ Others,825.0,,,
2109,Bathinda,Rampuraphool,"Baba bhai rup chand rice mill, rampura",7500.0,Sheller/ Others,750.0,,,
2110,Bathinda,Rampuraphool,"Bava rice mill, rampura",7500.0,Sheller/ Others,750.0,,,
2111,Bathinda,Rampuraphool,Maa durga rice mill,15000.0,Sheller/ Others,1500.0,14.0,7.428571428571429,2.709365117635373
2112,Bathinda,Rampuraphool,Maa durga rice mill 2,11250.0,Sheller/ Others,1125.0,,,
2113,Bathinda,Rampuraphool,Malwa rice mill rampura,22500.0,Sheller/ Others,2250.0,,,
2114,Bathinda,Rampuraphool,"Radha rice mill, dipali",10500.0,Sheller/ Others,1050.0,19.0,4.578947368421052,0.5072572735017882
2115,Bathinda,Rampuraphool,Vishnu rice mills,22500.0,Sheller/ Others,2250.0,24.0,8.5,3.2168037066250283
2116,Bathinda,Rampuraphool,"Vipan rice mill, bhairupa",18750.0,Sheller/ Others,1875.0,17.0,7.705882352941177,2.9530642111701733
2117,Bathinda,Rampuraphool,Shaktirice mill,18750.0,Sheller/ Others,1875.0,17.0,6.588235294117647,2.3732578749846107
2118,Bathinda,Rampuraphool,"Shamsher rice mill, rampura",27500.0,Sheller/ Others,2750.0,19.0,5.578947368421052,1.346426937147361
2119,Bathinda,Rampuraphool,Shanti rice mills,15000.0,Sheller/ Others,1500.0,12.0,7.75,2.800162332956625
2120,Bathinda,Rampuraphool,"Shubham rice mill, rampura",11250.0,Sheller/ Others,1125.0,16.0,5.25,0.5773502691896257
2121,Bathinda,Rampuraphool,Shri bala ji rice mill,11250.0,Sheller/ Others,1125.0,14.0,4.857142857142857,0.9492622930986471
2122,Bathinda,Rampuraphool,Shiv rice mill,15000.0,Sheller/ Others,1500.0,23.0,13.565217391304348,8.123065291090558
2123,Bathinda,Rampuraphool,Shiv shakti katan mills,18750.0,Sheller/ Others,1875.0,16.0,6.625,2.526525941551627
2124,Bathinda,Rampuraphool,"Shiv shakti rice mill, rampura",18750.0,Sheller/ Others,1875.0,16.0,6.8125,2.613267431141839
2125,Bathinda,Bathinda,Aarji far ring and (sub yard bathinda),5000.0,Sheller/ Others,500.0,,,
2126,Bathinda,Bathinda,"Gagan rice mill,bathinda",3750.0,Sheller/ Others,375.0,32.0,3.40625,1.521022046032249
2127,Bathinda,Bathinda,Barsana rice mill,11250.0,Sheller/ Others,1125.0,,,
2128,Bathinda,Bathinda,Malwa rice mill,18750.0,Sheller/ Others,1875.0,,,
2129,Bathinda,Bathinda,"Shiv rice mill ,shergarh",15000.0,Sheller/ Others,1500.0,32.0,6.28125,2.465692011743193
2130,Bathinda,Bathinda,Lakshami rice and janral mill bathinda,18750.0,Sheller/ Others,1875.0,,,
2131,Bathinda,Bathinda,"Shri balaji rice mill, bathinda",18750.0,Sheller/ Others,1875.0,31.0,6.193548387096774,2.6635734748480244
2132,Bathinda,Rama,Agarwal rice and janral mill raman,45000.0,Sheller/ Others,4500.0,38.0,10.526315789473685,7.14232471090192
2133,Bathinda,Rama,"Agarwal rice mill, raman",7500.0,Sheller/ Others,750.0,,,
2134,Bathinda,Rama,"S kumar rice mill, raman",7500.0,Sheller/ Others,750.0,36.0,3.9722222222222223,0.9996030958367172
2135,Bathinda,Rama,"S.a agro food, raman",7500.0,Sheller/ Others,750.0,,,
2136,Bathinda,Rama,M.b rice mill,52500.0,Sheller/ Others,5250.0,41.0,5.585365853658536,3.065743056390225
2137,Bathinda,Rama,"Kehvi industry, raman",7500.0,Sheller/ Others,750.0,34.0,3.7941176470588234,1.0948754395656124
2138,Bathinda,Rama,"Guru kirpa rice mill, raman",7500.0,Sheller/ Others,750.0,43.0,8.279069767441861,4.812313478860883
2139,Bathinda,Rama,Jiwi rice mill,15000.0,Sheller/ Others,1500.0,41.0,4.951219512195122,2.2688236986618766
2140,Bathinda,Rama,Jam rice mill,15000.0,Sheller/ Others,1500.0,41.0,4.7317073170731705,2.4292425799403237
2141,Bathinda,Rama,Nan,7500.0,Sheller/ Others,750.0,41.0,256.1951219512195,404.46033300635276
2142,Bathinda,Rama,"Maheshvari rice mill,raman",11250.0,Sheller/ Others,1125.0,43.0,4.0,1.0690449676496976
2143,Bathinda,Rama,Makhar rice mill,52500.0,Sheller/ Others,5250.0,43.0,5.348837209302325,3.183915834989485
2144,Bathinda,Rama,Makhar rice mill,11250.0,Sheller/ Others,1125.0,43.0,5.348837209302325,3.183915834989485
2145,Bathinda,Rama,"Vardhman jan rice mill, raman",11250.0,Sheller/ Others,1125.0,43.0,4.27906976744186,1.4196844283040482
2146,Bathinda,Rama,Vardhman rice mill,37500.0,Sheller/ Others,3750.0,43.0,14.069767441860465,9.919666250235315
2147,Bathinda,Rama,"Shri ratan rice mill, bagha, raman",90000.0,Sheller/ Others,9000.0,43.0,15.116279069767442,9.388973528574132
2148,Bathinda,Sangat,Shri krishana rice mill,22500.0,Sheller/ Others,2250.0,27.0,13.222222222222221,5.6318690252835895
2149,Bathinda,Sangat,Shri durga ji rice mill,22500.0,Sheller/ Others,2250.0,21.0,6.714285714285714,2.512824250576573
2150,Bathinda,Sangat,Shri balaji rice mill,30000.0,Sheller/ Others,3000.0,22.0,8.454545454545455,4.490490192006009
2151,Bathinda,Sangat,Shri ram rice mill,30000.0,Sheller/ Others,3000.0,32.0,23.65625,11.140189883712095
2152,Bathinda,Sangat,"Karni mata rice mill, sangat",37500.0,Sheller/ Others,3750.0,29.0,12.310344827586206,5.148532719383414
2153,Bathinda,Sangat,"Ganpati rice mill, sangat",37500.0,Sheller/ Others,3750.0,32.0,10.9375,4.9379210722862945
2154,Bathinda,Sangat,Jai bajrang bali rice mill,30000.0,Sheller/ Others,3000.0,32.0,9.09375,3.913247764263864
2155,Bathinda,Sangat,"Baba balia ji rice mill, sangat",5000.0,Sheller/ Others,500.0,16.0,4.4375,1.2093386622447824
2156,Bathinda,Sangat,"Bhagwati rice mill, sangat",37500.0,Sheller/ Others,3750.0,27.0,11.851851851851851,5.404440508320654
2157,Bathinda,Sangat,"Shri lakshmi rice mills,sangat",37500.0,Sheller/ Others,3750.0,27.0,11.518518518518519,5.228401508700564
2158,Bathinda,Nathana,M.l.rice mill,56250.0,Sheller/ Others,5625.0,33.0,5.757575757575758,3.8812876651175885
2159,Bathinda,Nathana,"Satia rice mill, gobindpura",45000.0,Sheller/ Others,4500.0,35.0,10.2,4.8373546489791295
2160,Bathinda,Nathana,Simar rice and janral mill,7500.0,Sheller/ Others,750.0,28.0,4.5,0.693888666488711
2161,Bathinda,Nathana,Hari om rice mill,22500.0,Sheller/ Others,2250.0,24.0,15.708333333333334,9.100784326766505
2162,Bathinda,Nathana,Golden rice mills puhli,45000.0,Sheller/ Others,4500.0,28.0,4.928571428571429,2.0354009783964297
2163,Bathinda,Nathana,"Bahia rice mill, bhucho",11250.0,Sheller/ Others,1125.0,27.0,4.62962962962963,0.5648790304908824
2164,Bathinda,Nathana,"Best rice mill, bhucho",7500.0,Sheller/ Others,750.0,21.0,4.761904761904762,0.4364357804719847
2165,Bathinda,Nathana,"Bhole shanker rice mill, bhucho",7500.0,Sheller/ Others,750.0,29.0,4.517241379310345,0.5085476277156079
2166,Bathinda,Nathana,"Shri ganpati rice mill purla, bhucho",11250.0,Sheller/ Others,1125.0,28.0,4.75,0.6454972243679028
2167,Barnala,Tapa,"Om rice mills , pakho kalan",37500.0,Sheller/ Others,3750.0,22.0,13.590909090909092,6.276631572436277
2168,Barnala,Mehal kalan,"Anjani mata rice mills, mehlkalan",15000.0,Sheller/ Others,1500.0,14.0,8.428571428571429,2.20887321481358
2169,Barnala,Dhanola,"Ambe agro foods, bhaini jassa",22500.0,Sheller/ Others,2250.0,11.0,8.181818181818182,2.522624895547565
2170,Barnala,Tapa,"Arjun rice mills, tajoke rode, tapa",22500.0,Sheller/ Others,2250.0,21.0,7.0476190476190474,2.459190730223878
2171,Barnala,Tapa,Ashoka rice mills,45000.0,Sheller/ Others,4500.0,15.0,13.266666666666667,7.4590948001815365
2172,Barnala,Tapa,Ashirwad rice mills,30000.0,Sheller/ Others,3000.0,17.0,10.235294117647058,4.763525634505208
2173,Barnala,Tapa,S.a. a rice mill,30000.0,Sheller/ Others,3000.0,,,
2174,Barnala,Tapa,"M. k agro industries, tapa",11250.0,Sheller/ Others,1125.0,8.0,5.0,0.0
2175,Barnala,Mehal kalan,Avergreen rice mill,3000.0,Sheller/ Others,300.0,17.0,4.294117647058823,1.3117119482928095
2176,Barnala,Barnala,"A. k. rice mills, bhotna",15000.0,Sheller/ Others,1500.0,14.0,7.857142857142857,2.5677629550654775
2177,Barnala,Mehal kalan,"Sangam rice mills, mehlkalan",15000.0,Sheller/ Others,1500.0,15.0,9.133333333333333,1.8073922282301285
2178,Barnala,Tapa,"Sanjeev rice mill, tapa",22500.0,Sheller/ Others,2250.0,,,
2179,Barnala,Tapa,Star rice mills dhurkot,22500.0,Sheller/ Others,2250.0,19.0,7.7368421052631575,3.0883671569142215
2180,Barnala,Barnala,"Sadha shiv rice mill, barnala",2250.0,Sheller/ Others,225.0,14.0,5.0,0.0
2181,Barnala,Dhanola,"Swami rice mill, dhanola",3750.0,Sheller/ Others,375.0,,,
2182,Barnala,Barnala,Sagar rice mills 2,37500.0,Sheller/ Others,3750.0,13.0,13.461538461538462,7.467879938056769
2183,Barnala,Barnala,"Sagar rice mill, barnala",3000.0,Sheller/ Others,300.0,,,
2184,Barnala,Bhadour,Singla mills,75000.0,Sheller/ Others,7500.0,12.0,17.5,15.447859516333116
2185,Barnala,Tapa,"Singla rice mills, tajo rode, tapa",11250.0,Sheller/ Others,1125.0,23.0,4.869565217391305,1.0997664142934647
2186,Barnala,Mehal kalan,"Sidhu rice mills, chananwal",75000.0,Sheller/ Others,7500.0,14.0,23.571428571428573,12.623021006900816
2187,Barnala,Dhanola,Shiv rice mill,1500.0,Sheller/ Others,150.0,23.0,13.565217391304348,8.123065291090558
2188,Barnala,Mehal kalan,"Shivam rice mills, hamidi",150000.0,Sheller/ Others,15000.0,4.0,27.5,28.722813232690143
2189,Barnala,Dhanola,Shiwalik rice mill,1500.0,Sheller/ Others,150.0,18.0,4.555555555555555,1.1991282236408358
2190,Barnala,Tapa,"Surinder rice mills, kahneke",7500.0,Sheller/ Others,750.0,,,
2191,Barnala,Dhanola,"Suryia rice mills, kattu",22500.0,Sheller/ Others,2250.0,17.0,8.117647058823529,2.735926555601787
2192,Barnala,Dhanola,Shri krishana rice mill,2250.0,Sheller/ Others,225.0,27.0,13.222222222222221,5.6318690252835895
2193,Barnala,Mehal kalan,Shri krishana rice mill,2250.0,Sheller/ Others,225.0,27.0,13.222222222222221,5.6318690252835895
2194,Barnala,Tapa,"Shri bake bihari rice mills, tajoke rode, tapa",22500.0,Sheller/ Others,2250.0,19.0,7.2631578947368425,2.5569535967448513
2195,Barnala,Tapa,"Shri balaji rice mill, tappa",1500.0,Sheller/ Others,150.0,8.0,5.0,0.0
2196,Barnala,Tapa,Shri ram rice mill,1500.0,Sheller/ Others,150.0,32.0,23.65625,11.140189883712095
2197,Barnala,Tapa,Hans rice mills,37500.0,Sheller/ Others,3750.0,15.0,12.266666666666667,7.657551517168868
2198,Barnala,Dhanola,"Hargobind rice mills, dhanola",30000.0,Sheller/ Others,3000.0,15.0,10.866666666666667,4.373077809027588
2199,Barnala,Tapa,Hader rice mills,45000.0,Sheller/ Others,4500.0,18.0,11.444444444444445,7.413994892191249
2200,Barnala,Mehal kalan,"Kamdhenu rice mills, hamidi",75000.0,Sheller/ Others,7500.0,9.0,30.555555555555557,10.137937550497035
2201,Barnala,Barnala,"Kisan rice mill, barnala",3000.0,Sheller/ Others,300.0,13.0,5.0,0.0
2202,Barnala,Barnala,"Kuber rice mill, barnala",22500.0,Sheller/ Others,2250.0,,,
2203,Barnala,Dhanola,"Keshav rice mill, dhanola",1500.0,Sheller/ Others,150.0,,,
2204,Barnala,Mehal kalan,Krishna rice mill,3750.0,Sheller/ Others,375.0,18.0,8.055555555555555,2.6451336499586913
2205,Barnala,Bhadour,Ganesh rice mills,75000.0,Sheller/ Others,7500.0,28.0,27.25,17.877411777207904
2206,Barnala,Bhadour,Garag rice mills,112500.0,Sheller/ Others,11250.0,29.0,28.896551724137932,25.060419600275484
2207,Barnala,Tapa,"Greentak agro foods, tapa",7500.0,Sheller/ Others,750.0,8.0,5.0,0.0
2208,Barnala,Barnala,"Gurdev rice mills, barnala",93750.0,Sheller/ Others,9375.0,13.0,27.307692307692307,19.959895688540957
2209,Barnala,Mehal kalan,Guru kirpa rice mill,3000.0,Sheller/ Others,300.0,29.0,13.689655172413794,7.924209957357002
2210,Barnala,Dhanola,Guru nanak gram udyog samti,2250.0,Sheller/ Others,225.0,11.0,5.0,0.0
2211,Barnala,Barnala,"Guru nanak rice mills, handayia",75000.0,Sheller/ Others,7500.0,13.0,22.307692307692307,14.378135109629802
2212,Barnala,Barnala,"Goyal agro foods, dhola",75000.0,Sheller/ Others,7500.0,13.0,22.307692307692307,14.378135109629802
2213,Barnala,Dhanola,"Goyal rice mills, bhure",22500.0,Sheller/ Others,2250.0,11.0,8.181818181818182,2.522624895547565
2214,Barnala,Barnala,"Gobind rice mill, barnala",3750.0,Sheller/ Others,375.0,13.0,5.0,0.0
2215,Barnala,Bhadour,G. s rice mills,22500.0,Sheller/ Others,2250.0,,,
2216,Barnala,Bhadour,Jai durga rice mills,11250.0,Sheller/ Others,1125.0,14.0,5.0,0.0
2217,Barnala,Dhanola,"Jai bajrangi  rice mill, kattu",22500.0,Sheller/ Others,2250.0,,,
2218,Barnala,Bhadour,Jai bala ji rice mills,52500.0,Sheller/ Others,5250.0,25.0,12.44,9.648315915225826
2219,Barnala,Dhanola,"Jai bhawani rice mills, badbar",22500.0,Sheller/ Others,2250.0,7.0,7.857142857142857,2.6726124191242437
2220,Barnala,Bhadour,Jai maa naina devi rice mills,6000.0,Sheller/ Others,600.0,9.0,5.0,0.0
2221,Barnala,Dhanola,Jai shri ganesh padher,3000.0,Sheller/ Others,300.0,,,
2222,Barnala,Mehal kalan,Dhillon rice mill,3000.0,Sheller/ Others,300.0,16.0,9.0,4.633213427705081
2223,Barnala,Tapa,Teg agro foods,2250.0,Sheller/ Others,225.0,22.0,3.5,1.535298947157477
2224,Barnala,Bhadour,"Dashmesh rice mills, pakho ke",15000.0,Sheller/ Others,1500.0,14.0,8.214285714285714,2.4862257904942346
2225,Barnala,Mehal kalan,Dhaliwal rice mill,3750.0,Sheller/ Others,375.0,18.0,4.166666666666667,1.38266579688743
2226,Barnala,Mehal kalan,"Dhiraj rice and janral mills, hamidi",150000.0,Sheller/ Others,15000.0,,,
2227,Barnala,Mehal kalan,"Dhiraj rice mills, hamidi",225000.0,Sheller/ Others,22500.0,8.0,28.75,18.660500682304473
2228,Barnala,Mehal kalan,Namdhari rice mill,3750.0,Sheller/ Others,375.0,12.0,5.416666666666667,1.4433756729740645
2229,Barnala,Mehal kalan,New sangam rice mill,3000.0,Sheller/ Others,300.0,16.0,4.25,1.3416407864998738
2230,Barnala,Barnala,New kotia rice mill,1500.0,Sheller/ Others,150.0,13.0,5.0,0.0
2231,Barnala,Bhadour,"New dashmesh rice mills, pakho ke",15000.0,Sheller/ Others,1500.0,,,
2232,Barnala,Mehal kalan,"Neeraj rice mills, chananwal",75000.0,Sheller/ Others,7500.0,3.0,20.0,15.0
2233,Barnala,Bhadour,Punjab rice mills,15000.0,Sheller/ Others,1500.0,23.0,7.130434782608695,6.137102868663141
